COUNTRY,INDICATOR,TRADE_FLOW,VALUATION,SCALE,CURRENCY,VALUE,YEAR,IS_EXPORT,VALUE_CATEGORY,TREND
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,596000000.0,2016,True,Medium,No Data
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,723000000.0,2017,True,Medium,Increasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,875000000.0,2018,True,Medium,Increasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,864000000.0,2019,True,Medium,Decreasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,777000000.0,2020,True,Medium,Decreasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,770000000.0,2021,True,Medium,Decreasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,615000000.0,2022,True,Medium,Decreasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,896000000.0,2023,True,Medium,Increasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,919000000.0,2024,True,Medium,Increasing
"Afghanistan, Islamic Republic of",Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,926000000.0,2025,True,Medium,Increasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,6534000000.0,2016,False,Medium,No Data
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,7065000000.0,2017,False,Medium,Increasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,7407000000.0,2018,False,Medium,Increasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,6777000000.0,2019,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,6538000000.0,2020,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,5160000000.0,2021,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,4232000000.0,2022,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,3768000000.0,2023,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,3477000000.0,2024,False,Medium,Decreasing
"Afghanistan, Islamic Republic of",Imports of goods,Imports of goods,Cost insurance freight (CIF),Billions,USD,3606000000.0,2025,False,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,1959000000.0,2016,True,Medium,No Data
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,2292000000.0,2017,True,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,2869000000.0,2018,True,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,2715000000.0,2019,True,Medium,Decreasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,2505000000.0,2020,True,Medium,Decreasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,3558000000.0,2021,True,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,4309000000.0,2022,True,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,4374000000.0,2023,True,Medium,Increasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,3999000000.0,2024,True,Medium,Decreasing
Albania,Exports of goods,Exports of goods,Free on board (FOB),Billions,USD,3994000000.0,2025,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,144.2894184467218,2016,True,Low,No Data
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,157.7108284973453,2017,True,Low,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,188.3442400296333,2018,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,183.1337202123719,2019,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,170.1197678725768,2020,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,212.6929250524756,2021,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,232.7941721200148,2022,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,250.7840474132609,2023,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,230.522286702062,2024,True,Medium,Decreasing
