COUNTRY,INDICATOR,TRADE_FLOW,VALUATION,SCALE,CURRENCY,VALUE,YEAR,IS_EXPORT,VALUE_CATEGORY,TREND
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,144.2894184467218,2016,True,Low,No Data
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,157.7108284973453,2017,True,Low,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,188.3442400296333,2018,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,183.1337202123719,2019,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,170.1197678725768,2020,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,212.6929250524756,2021,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,232.7941721200148,2022,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,250.7840474132609,2023,True,Medium,Increasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,230.522286702062,2024,True,Medium,Decreasing
Albania,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,244.1412520064205,2025,True,Medium,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,111.8703931203931,2016,False,Low,No Data
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,122.5890663390663,2017,False,Low,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,131.8181818181818,2018,False,Low,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,134.1062653562654,2019,False,Low,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,127.0116707616708,2020,False,Low,Decreasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,150.982800982801,2021,False,Low,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,147.6197788697789,2022,False,Low,Decreasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,167.4293611793612,2023,False,Medium,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,189.4502457002457,2024,False,Medium,Increasing
Albania,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,199.4932432432433,2025,False,Medium,Increasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,86.34978671541742,2016,True,Low,No Data
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,83.66849482023156,2017,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,80.9262644728824,2018,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,79.03717245581961,2019,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,65.90493601462524,2020,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,58.92748324192565,2021,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,54.448507007922,2022,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,77.42230347349177,2023,True,Low,Increasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,73.43083485679465,2024,True,Low,Decreasing
Algeria,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,65.02132845825716,2025,True,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,121.2886514489234,2016,False,Low,No Data
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,115.1691759753926,2017,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,111.7856564675409,2018,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,108.7259187307755,2019,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,86.30403108305003,2020,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,80.78355188602882,2021,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,75.66779990286547,2022,False,Low,Decreasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,87.01635097943986,2023,False,Low,Increasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,94.4795208029788,2024,False,Low,Increasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,105.0509956289461,2025,False,Low,Increasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,89.81297254277756,2016,True,Low,No Data
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,89.71348985276562,2017,True,Low,Decreasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,89.47473139673697,2018,True,Low,Decreasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,100.2387584560287,2019,True,Low,Increasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,87.14683645045761,2020,True,Low,Decreasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,98.36848388380422,2021,True,Low,Increasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,96.43851969757262,2022,True,Low,Decreasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,80.52128929566256,2023,True,Low,Decreasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,101.6912057302029,2024,True,Low,Increasing
Argentina,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,111.7986470354158,2025,True,Low,Increasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,111.6273197828557,2016,False,Low,No Data
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,128.0141396288347,2017,False,Low,Increasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,119.6692336826158,2018,False,Low,Decreasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,94.84913521020071,2019,False,Low,Decreasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,84.73677565963894,2020,False,Low,Decreasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,110.2007322307789,2021,False,Low,Increasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,121.9542986996591,2022,False,Low,Increasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,117.1947986365358,2023,False,Low,Decreasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,100.8332281277616,2024,False,Low,Decreasing
Argentina,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,131.6247948491352,2025,False,Low,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,199.0193164933135,2016,True,Medium,No Data
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,223.8632986627043,2017,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,229.6582466567608,2018,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,260.7726597325408,2019,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,243.5661218424963,2020,True,Medium,Decreasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,232.927191679049,2021,True,Medium,Decreasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,404.8439821693908,2022,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,647.4294205052005,2023,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,946.8053491827636,2024,True,Medium,Increasing
"Armenia, Republic of","Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,498.3655274888558,2025,True,Medium,Decreasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,91.44728860851632,2016,False,Low,No Data
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,111.4400097052044,2017,False,Low,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,125.7430547130899,2018,False,Low,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,144.0009705204416,2019,False,Low,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,121.1816086376319,2020,False,Low,Decreasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,116.0499818027417,2021,False,Low,Decreasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,159.7840592017469,2022,False,Low,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,242.9091350236565,2023,False,Medium,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,324.7967972825428,2024,False,Medium,Increasing
"Armenia, Republic of","Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,228.5454324881718,2025,False,Medium,Decreasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,87.19597428012302,2016,True,Low,No Data
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,101.928990774392,2017,True,Low,Increasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,110.6513838412077,2018,True,Low,Increasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,124.7134470226447,2019,True,Low,Increasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,121.1070729661728,2020,True,Low,Decreasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,155.2418227564999,2021,True,Low,Increasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,203.7461559966453,2022,True,Medium,Increasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,193.1786413195415,2023,True,Medium,Decreasing
Australia,Export price index (EPI),Exports of goods,Free on board (FOB),Units,Not Applicable,178.8929270338273,2024,True,Medium,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,128.1789638932496,2016,True,Low,No Data
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,128.394819466248,2017,True,Low,Increasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,134.9882260596546,2018,True,Low,Increasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,135.616169544741,2019,True,Low,Increasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,129.9058084772371,2020,True,Low,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,128.0808477237049,2021,True,Low,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,126.3147566718995,2022,True,Low,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,125.5298273155416,2023,True,Low,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,125.4709576138148,2024,True,Low,Decreasing
Australia,"Exports of goods, Volume index",Exports of goods,Free on board (FOB),Units,Not Applicable,129.6114599686028,2025,True,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,105.3275554422635,2016,False,Low,No Data
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,105.6079530971195,2017,False,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,112.515931684935,2018,False,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,115.4728524088707,2019,False,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,111.368850369615,2020,False,Low,Decreasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,114.3512617894468,2021,False,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,135.8399184297731,2022,False,Low,Increasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,135.3301045118531,2023,False,Low,Decreasing
Australia,Import price index,Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,134.4379301554932,2024,False,Low,Decreasing
